Date,Price
04/26/2023,86.24
04/25/2023,86.81
04/24/2023,88.56
04/21/2023,89.86
04/20/2023,91.74
04/19/2023,94.39
04/18/2023,95.15
04/17/2023,92.91
04/14/2023,94.11
04/13/2023,94.39
2023-12-04,96.27
2023-11-04,97.47
2023-06-04,96.75
2023-05-04,97.01
2023-04-04,94.98
2023-03-04,96
03/31/2023,91.75
03/30/2023,90.8
03/29/2023,90.02
03/28/2023,89.4
03/27/2023,88.13
03/24/2023,85.4
03/23/2023,90.18
03/22/2023,86.63
03/21/2023,87.38
03/20/2023,85.18
03/17/2023,85.57
03/16/2023,85.27
03/15/2023,86.65
03/14/2023,89.73
03/13/2023,92.99
2023-10-03,96.83
2023-09-03,95.4
2023-08-03,94.76
2023-07-03,92.87
2023-06-03,89.96
2023-03-03,89.27
2023-02-03,90.1
2023-01-03,93.8
02/28/2023,95.88
02/27/2023,96.9
02/24/2023,94.79
02/23/2023,93.84
02/22/2023,93.45
02/21/2023,97.12
02/20/2023,95.11
02/17/2023,93.33
02/16/2023,95.13
02/15/2023,91.51
02/14/2023,88.62
02/13/2023,89.35
2023-10-02,90.44
2023-09-02,88.49
2023-08-02,87.59
2023-07-02,87.9
2023-06-02,87.96
2023-03-02,90.9
2023-02-02,90.65
2023-01-02,92.65
01/31/2023,90.13
01/30/2023,87.21
01/27/2023,86.94
01/26/2023,86.81
01/25/2023,82.28
01/24/2023,79.62
01/23/2023,81.8
01/20/2023,82.6
01/19/2023,81.86
01/18/2023,81.42
01/17/2023,77.21
01/16/2023,75.07
01/13/2023,77.2
2023-12-01,77.76
2023-11-01,76.64
2023-10-01,78.38
2023-09-01,79.1
2023-06-01,75.55
2023-05-01,76.24
2023-04-01,75.4
2023-03-01,80.42
2023-02-01,83.67
12/30/2022,79.4
12/29/2022,82.36
12/28/2022,84.13
12/27/2022,86.08
12/23/2022,86.85
12/22/2022,86.85
12/21/2022,85.6
12/20/2022,86.87
12/19/2022,84.69
12/16/2022,83.68
12/15/2022,85.2
12/14/2022,86.19
12/13/2022,88.99
2022-12-12,89.81
2022-09-12,87.73
2022-08-12,88.93
2022-07-12,88.19
2022-06-12,88.61
2022-05-12,87.17
2022-02-12,87.98
2022-01-12,84.88
11/30/2022,84.9
11/29/2022,81.39
11/28/2022,78.59
11/25/2022,78.97
11/24/2022,78.69
11/23/2022,75.87
11/22/2022,73.87
11/21/2022,74.28
11/18/2022,72.47
11/17/2022,72.4
11/16/2022,73.41
11/15/2022,76.65
11/14/2022,75.23
2022-11-11,75.84
2022-10-11,73.05
2022-09-11,72.76
2022-08-11,76.06
2022-07-11,77.49
2022-04-11,76.36
2022-03-11,76.28
2022-02-11,76.7
2022-01-11,76.72
10/31/2022,79.97
10/28/2022,81.21
10/27/2022,80.21
10/26/2022,75.79
10/25/2022,77.11
10/24/2022,72.32
10/21/2022,68.72
10/20/2022,66.87
10/19/2022,67.29
10/18/2022,67.77
10/17/2022,67.51
10/14/2022,68.02
10/13/2022,68.84
2022-12-10,66.71
2022-11-10,66.34
2022-10-10,66.77
2022-07-10,69.85
2022-06-10,68.96
2022-05-10,67.07
2022-04-10,66.92
2022-03-10,65.94
09/30/2022,66.73
09/29/2022,65.73
09/28/2022,65.15
09/27/2022,67.96
09/26/2022,70.33
09/23/2022,65.77
09/22/2022,70.44
09/21/2022,69.79
09/20/2022,71.14
09/19/2022,71.1
09/16/2022,73.27
09/15/2022,71.85
09/14/2022,72.54
09/13/2022,69.75
2022-12-09,71.82
2022-09-09,66.08
2022-08-09,67.24
2022-07-09,69.03
2022-06-09,69.88
2022-05-09,74.45
2022-02-09,77.89
2022-01-09,80.79
08/31/2022,80.03
08/30/2022,80.81
08/29/2022,86.66
08/26/2022,90.31
08/25/2022,89.31
08/24/2022,89.24
08/23/2022,89.29
08/22/2022,92.17
08/19/2022,98.01
08/18/2022,96.04
08/17/2022,95.8
08/16/2022,92.08
08/15/2022,90.78
2022-12-08,88.87
2022-11-08,87.55
2022-10-08,85.92
2022-09-08,85.93
2022-08-08,83.81
2022-05-08,84.76
2022-04-08,84.19
2022-03-08,83.99
2022-02-08,81.95
2022-01-08,80.58
07/29/2022,78.55
07/28/2022,78.96
07/27/2022,76.14
07/26/2022,76.68
07/25/2022,76.37
07/22/2022,76.3
07/21/2022,78.11
07/20/2022,78.84
07/19/2022,83.65
07/18/2022,84.94
07/15/2022,85.38
07/14/2022,83.97
07/13/2022,83.86
2022-12-07,85.65
2022-11-07,84.36
2022-08-07,82.79
2022-07-07,84.92
2022-06-07,83.22
2022-05-07,83.19
2022-04-07,84.55
2022-01-07,85.58
06/30/2022,90.16
06/29/2022,88.35
06/28/2022,87.4
06/27/2022,85.05
06/24/2022,83.43
06/23/2022,84.13
06/22/2022,81.88
06/21/2022,84.73
06/20/2022,84
06/17/2022,82.37
06/16/2022,83
06/15/2022,86.2
06/14/2022,84.15
06/13/2022,81.54
2022-10-06,81.86
2022-09-06,81.01
2022-08-06,79.81
2022-07-06,81.31
2022-06-06,81.43
2022-03-06,86.87
2022-02-06,86.34
2022-01-06,86.08
05/31/2022,84.02
05/30/2022,83.97
05/27/2022,84.2
05/26/2022,84.76
05/25/2022,81.4
05/24/2022,81.32
05/23/2022,78.15
05/20/2022,80.39
05/19/2022,83.18
05/18/2022,84.64
05/17/2022,91.72
05/16/2022,89.56
05/13/2022,88.48
2022-12-05,88.26
2022-11-05,88.83
2022-10-05,87.34
2022-09-05,87.02
2022-06-05,91.54
2022-05-05,88.91
2022-04-05,88.31
2022-03-05,88.19
2022-02-05,83.04
04/29/2022,84.45
04/28/2022,82.68
04/27/2022,81.01
04/26/2022,82.71
04/25/2022,83.46
04/22/2022,88.99
04/21/2022,86.44
04/20/2022,87.82
04/19/2022,80.2
04/14/2022,79.97
04/13/2022,77.44
2022-12-04,79.01
2022-11-04,77.95
2022-08-04,80.09
2022-07-04,79.94
2022-06-04,77.18
2022-05-04,78.05
2022-04-04,78.5
2022-01-04,78.49
03/31/2022,76.48
03/30/2022,78.31
03/29/2022,81.7
03/28/2022,80.81
03/25/2022,78.6
03/24/2022,78.24
03/23/2022,76.6
03/22/2022,80.67
03/21/2022,78.39
03/18/2022,78.89
03/17/2022,79.89
03/16/2022,78.16
03/15/2022,77.43
03/14/2022,78.28
2022-11-03,76.76
2022-10-03,76.41
2022-09-03,73.18
2022-08-03,68.51
2022-07-03,58.3
2022-04-03,65.1
2022-03-03,67.35
2022-02-03,68.49
2022-01-03,68.85
02/28/2022,82.21
02/25/2022,88.14
02/24/2022,87.03
02/23/2022,95.07
02/22/2022,89.77
02/21/2022,89.68
02/18/2022,89.47
02/17/2022,86.44
02/16/2022,89.86
02/15/2022,91.14
02/14/2022,91.76
2022-11-02,92.87
2022-10-02,90.78
2022-09-02,90.79
2022-08-02,96.93
2022-07-02,96.7
2022-04-02,96.45
2022-03-02,94.81
2022-02-02,94.21
2022-01-02,89.52
01/31/2022,89.24
01/28/2022,89.22
01/27/2022,89.76
01/26/2022,88.66
01/25/2022,87.45
01/24/2022,84.02
01/21/2022,84.47
01/20/2022,85.59
01/19/2022,82.09
01/18/2022,82.67
01/17/2022,80.58
01/14/2022,82.08
01/13/2022,80.56
2022-12-01,80.01
2022-11-01,81.3
2022-10-01,80.09
2022-07-01,85.42
2022-06-01,86.74
2022-05-01,87.58
2022-04-01,84.91
2022-03-01,84.01
12/31/2021,80.65
12/30/2021,80.16
12/29/2021,80.36
12/28/2021,79.29
12/27/2021,76.92
12/24/2021,76.31
12/23/2021,74.46
12/22/2021,76.83
12/21/2021,80.94
12/20/2021,80.09
12/17/2021,74.02
12/16/2021,85.71
12/15/2021,81.19
12/14/2021,80.12
12/13/2021,82.72
2021-10-12,84.37
2021-09-12,80.88
2021-08-12,89.41
2021-07-12,85.34
2021-06-12,81.65
2021-03-12,78.64
2021-02-12,80.25
2021-01-12,77.2
11/30/2021,75.73
11/29/2021,74.54
11/26/2021,73.12
11/25/2021,74.79
11/24/2021,73.23
11/23/2021,69.49
11/22/2021,70.22
11/19/2021,69.65
11/18/2021,69.38
11/17/2021,67.45
11/16/2021,67.83
11/15/2021,66.22
2021-12-11,63.58
2021-11-11,64.02
2021-10-11,63.48
2021-09-11,60.75
