Date,Price
2023-01-04,86.24
2023-01-03,91.75
2023-01-02,95.88
2023-01-01,90.13
2022-01-12,79.4
2022-01-11,84.9
2022-01-10,79.97
2022-01-09,66.73
2022-01-08,80.03
2022-01-07,78.55
2022-01-06,90.16
2022-01-05,84.02
2022-01-04,84.45
2022-01-03,76.48
2022-01-02,82.21
2022-01-01,89.24
2021-01-12,80.65
2021-01-11,75.73
2021-01-10,59.08
2021-01-09,62.16
2021-01-08,61.07
2021-01-07,53.69
2021-01-06,56.78
2021-01-05,52.24
2021-01-04,49.31
2021-01-03,42.89
2021-01-02,37.6
2021-01-01,33.18
2020-01-12,32.94
2020-01-11,29.6
2020-01-10,24.19
2020-01-09,27.5
2020-01-08,29.53
2020-01-07,27.22
2020-01-06,27.68
2020-01-05,22.18
2020-01-04,20.39
2020-01-03,18.42
2020-01-02,24.02
2020-01-01,24.31
2019-01-12,25.18
2019-01-11,25.94
2019-01-10,26.35
2019-01-09,25.76
2019-01-08,27.37
2019-01-07,29.38
2019-01-06,27.5
2019-01-05,25.45
2019-01-04,27.43
2019-01-03,22.82
2019-01-02,23.13
2019-01-01,23.9
2018-01-12,27.06
2018-01-11,22.7
2018-01-10,18.49
2018-01-09,24.63
2018-01-08,23.2
2018-01-07,19.34
2018-01-06,16.51
2018-01-05,16.16
2018-01-04,14.6
2018-01-03,14.04
2018-01-02,10.73
2018-01-01,9.85
2017-01-12,8.6
2017-01-11,7.97
2017-01-10,7.81
2017-01-09,7.59
2017-01-08,6.54
2017-01-07,5.73
2017-01-06,5.42
2017-01-05,5.35
2017-01-04,4.94
2017-01-03,5.04
2017-01-02,5.57
2017-01-01,5.69
2016-01-12,6.54
2016-01-11,4.58
2016-01-10,5.9
2016-01-09,4.96
2016-01-08,4.46
2016-01-07,4.41
2016-01-06,4.46
2016-01-05,6.08
2016-01-04,6.17
2016-01-03,5.2
2016-01-02,4.99
2016-01-01,6.04
2015-01-12,8.22
2015-01-11,8.58
2015-01-10,8.63
2015-01-09,8.13
2015-01-08,8.05
2015-01-07,7.85
2015-01-06,7.42
2015-01-05,7.32
2015-01-04,7.39
2015-01-03,6.92
2015-01-02,7.1
2015-01-01,7.08
2014-01-12,7.25
2014-01-11,7.04
2014-01-10,6.34
2014-01-09,5.82
2014-01-08,6.38
2014-01-07,6.19
2014-01-06,5.81
2014-01-05,5.05
2014-01-04,5.4
2014-01-03,4.64
2014-01-02,7.06
2014-01-01,5.5
2013-01-12,4.83
2013-01-11,4.36
2013-01-10,4.8
2013-01-09,5.02
2013-01-08,4.55
2013-01-07,4.31
2013-01-06,4.18
2013-01-05,3.91
