date,dow_jones,bike_mean
1988-02-01,1944.630005,108.2589
1988-03-01,1952.920044,113.1471
1988-04-01,1924.569946,119.9011
1988-05-01,1923.569946,117.9859
1988-06-01,1910.47998,112.0315
1988-07-01,1895.719971,119.835
1988-09-01,1914.459961,116.9829
1988-10-01,1962.040039,118.6514
1988-11-01,1961.540039,121.3
1988-12-01,1983.26001,112.8952
1989-01-01,2005.969971,114.1185
1989-03-01,2000.98999,113.8276
1989-05-01,1986.410034,112.6418
1989-06-01,2014.589966,115.233
1989-07-01,2040.290039,114.858
1989-08-01,2039.119995,114.7509
1989-09-01,2039.949951,118.3505
1989-10-01,2017.569946,116.842
1989-11-01,2023.209961,116.9102
1989-12-01,2071.620117,116.7437
1990-01-01,2070.459961,117.0882
1990-02-01,2071.290039,119.8898
1990-03-01,2063.48999,120.2178
1990-04-01,2057.860107,122.354
1990-05-01,2056.370117,123.3673
1990-06-01,2081.070068,123.1469
1990-07-01,2074.27002,123.8596
1990-08-01,2026.030029,126.5216
1990-09-01,2034.97998,124.0313
1990-10-01,2050.070068,125.728
1990-11-01,2047.410034,125.0818
1990-12-01,2064.320068,127.0788
1991-01-01,2086.040039,129.0291
1991-02-01,2087.370117,126.1394
1991-03-01,2067.139893,134.8452
1991-04-01,2066.149902,134.1591
1991-05-01,2067.639893,134.2733
1991-06-01,2023.869995,137.6827
1991-07-01,1978.949951,141.2383
1991-08-01,1979.77002,139.1109
1991-09-01,1998.339966,141.9161
1991-10-01,1978.119995,144.8622
1991-11-01,1988.060059,140.9384
1991-12-01,1980.599976,142.8691
1992-01-01,1997.51001,152.8905
1992-02-01,2061.669922,156.2661
1992-03-01,2062.169922,155.3346
1992-04-01,2090.189941,157.0369
1992-05-01,2095.98999,158.5664
1992-06-01,2110.080078,159.7484
1992-07-01,2107.100098,159.7178
1992-08-01,2005.640015,160.025
1992-09-01,2013.930054,163.1125
1992-10-01,2008.119995,163.7487
1992-11-01,1999.5,160.9393
1992-12-01,1985.410034,159.8607
1993-01-01,1987.400024,161.6933
