price,date
84.99,1988-02-01
120,1988-02-01
125,1988-02-01
115,1988-02-01
89.99,1988-02-01
110,1988-02-01
99.95,1988-02-01
89.95,1988-02-01
94.99,1988-02-01
114.95,1988-02-01
95,1988-02-01
115,1988-02-01
129.95,1988-02-01
89.99,1988-02-01
110,1988-02-01
116.95,1988-02-01
89.99,1988-02-01
115,1988-03-01
116.95,1988-03-01
110,1988-03-01
119.95,1988-03-01
89.95,1988-03-01
128,1988-03-01
120,1988-03-01
89.99,1988-03-01
115,1988-03-01
84.99,1988-03-01
110,1988-03-01
95,1988-03-01
89.99,1988-03-01
116,1988-03-01
129.95,1988-03-01
127.95,1988-03-01
89.99,1988-03-01
99.95,1988-03-01
99.95,1988-04-01
128.55,1988-04-01
89.95,1988-04-01
120,1988-04-01
115,1988-04-01
115,1988-04-01
89.98,1988-04-01
94.99,1988-04-01
127,1988-04-01
99.95,1988-04-01
94.99,1988-04-01
89.99,1988-04-01
110,1988-04-01
116,1988-04-01
129.95,1988-04-01
116.95,1988-04-01
95,1988-04-01
94.95,1988-04-01
119.95,1988-04-01
199.99,1988-04-01
127.95,1988-04-01
116.95,1988-05-01
127.95,1988-05-01
89.99,1988-05-01
99.99,1988-05-01
94.99,1988-05-01
94.95,1988-05-01
129.95,1988-05-01
110,1988-05-01
116,1988-05-01
224,1988-05-01
175,1988-05-01
89.95,1988-05-01
120,1988-05-01
99.95,1988-05-01
128.55,1988-05-01
115,1988-05-01
115,1988-05-01
110,1988-05-01
133,1988-06-01
119,1988-06-01
95,1988-06-01
115,1988-06-01
135,1988-06-01
110,1988-06-01
89.99,1988-06-01
122,1988-06-01
175,1988-06-01
119.95,1988-06-01
127.95,1988-06-01
116.95,1988-06-01
99.99,1988-06-01
115,1988-06-01
84.99,1988-06-01
99.99,1988-06-01
127,1988-06-01
94.99,1988-06-01
224.99,1988-06-01
89.95,1988-06-01
99.95,1988-06-01
100,1988-06-01
89.99,1988-07-01
99.99,1988-07-01
224.99,1988-07-01
110,1988-07-01
94.95,1988-07-01
99.95,1988-07-01
127,1988-07-01
79.99,1988-07-01
89.95,1988-07-01
133,1988-07-01
116.95,1988-07-01
94.99,1988-07-01
99.95,1988-07-01
122,1988-07-01
127.95,1988-07-01
95,1988-07-01
100,1988-07-01
124.99,1988-07-01
89.99,1988-07-01
119,1988-07-01
100,1988-09-01
125,1988-09-01
99.95,1988-09-01
127,1988-09-01
99.95,1988-09-01
133,1988-09-01
95,1988-09-01
116.95,1988-09-01
119,1988-09-01
127.95,1988-09-01
92.95,1988-09-01
135,1988-09-01
224.99,1988-09-01
99.99,1988-09-01
94.99,1988-09-01
110,1988-09-01
124.99,1988-09-01
115,1988-09-01
175,1988-09-01
79.99,1988-09-01
94.95,1988-10-01
119,1988-10-01
125,1988-10-01
99.99,1988-10-01
124.99,1988-10-01
95,1988-10-01
92.95,1988-10-01
99.95,1988-10-01
116.95,1988-10-01
100,1988-10-01
94.99,1988-10-01
135,1988-10-01
133,1988-10-01
115,1988-10-01
89.99,1988-10-01
224.99,1988-10-01
134.95,1988-10-01
127.95,1988-10-01
127,1988-10-01
94.99,1988-10-01
110,1988-10-01
94.99,1988-11-01
116.95,1988-11-01
175,1988-11-01
115,1988-11-01
249.99,1988-11-01
94.95,1988-11-01
133,1988-11-01
135,1988-11-01
127,1988-11-01
99.99,1988-11-01
95,1988-11-01
79.99,1988-11-01
92.95,1988-11-01
99.99,1988-11-01
115,1988-11-01
89.99,1988-11-01
119.99,1988-11-01
119,1988-11-01
127.95,1988-11-01
110,1988-11-01
99.95,1988-11-01
119,1988-12-01
127.95,1988-12-01
175,1988-12-01
123,1988-12-01
115,1988-12-01
110,1988-12-01
133,1988-12-01
116.95,1988-12-01
139.95,1988-12-01
249.99,1988-12-01
98.99,1988-12-01
119.99,1988-12-01
127,1988-12-01
92.95,1988-12-01
115,1988-12-01
99.99,1988-12-01
95,1988-12-01
89.99,1988-12-01
99.95,1988-12-01
125,1988-12-01
99.95,1988-12-01
94.95,1988-12-01
119,1989-01-01
99.95,1989-01-01
175,1989-01-01
115,1989-01-01
134.95,1989-01-01
95,1989-01-01
115,1989-01-01
79.99,1989-01-01
116.95,1989-01-01
129.95,1989-01-01
125,1989-01-01
99.99,1989-01-01
94.95,1989-01-01
92.95,1989-01-01
99.95,1989-01-01
130,1989-01-01
119.99,1989-01-01
136,1989-01-01
99.99,1989-01-01
114,1989-01-01
89.99,1989-01-01
133,1989-01-01
79.99,1989-01-01
119.99,1989-03-01
115,1989-03-01
125,1989-03-01
149.99,1989-03-01
108,1989-03-01
85,1989-03-01
115,1989-03-01
146.95,1989-03-01
125.95,1989-03-01
124.99,1989-03-01
105,1989-03-01
114.95,1989-03-01
114,1989-03-01
114,1989-03-01
99.99,1989-03-01
134.95,1989-03-01
94.95,1989-03-01
133.31,1989-03-01
109.99,1989-03-01
89.99,1989-03-01
116.95,1989-03-01
79.99,1989-03-01
79.99,1989-03-01
120,1989-03-01
97,1989-03-01
129.95,1989-03-01
99.99,1989-03-01
142.99,1989-03-01
95,1989-03-01
130,1989-03-01
114.99,1989-03-01
79.99,1989-03-01
99.95,1989-03-01
129.99,1989-03-01
130,1989-03-01
114,1989-03-01
139.99,1989-03-01
156.99,1989-03-01
99.99,1989-03-01
79.99,1989-03-01
95,1989-05-01
79.99,1989-05-01
130,1989-05-01
134.99,1989-05-01
114,1989-05-01
125.95,1989-05-01
89.99,1989-05-01
119.99,1989-05-01
129.95,1989-05-01
79.99,1989-05-01
114,1989-05-01
115,1989-05-01
92.95,1989-05-01
149.99,1989-05-01
109.99,1989-05-01
159.99,1989-05-01
114,1989-05-01
119.95,1989-05-01
79.99,1989-05-01
97,1989-05-01
125,1989-05-01
139.99,1989-05-01
142.99,1989-05-01
104.99,1989-05-01
99.99,1989-05-01
129.99,1989-05-01
133.31,1989-05-01
79.99,1989-05-01
104.99,1989-05-01
108,1989-05-01
85,1989-05-01
116.95,1989-05-01
135,1989-05-01
146.95,1989-05-01
89.98,1989-05-01
114.99,1989-05-01
89.99,1989-05-01
114.95,1989-05-01
89.99,1989-05-01
116,1989-05-01
99.95,1989-05-01
119.99,1989-05-01
115,1989-05-01
134.95,1989-05-01
130.6,1989-05-01
111,1989-06-01
125.95,1989-06-01
130,1989-06-01
159.99,1989-06-01
79.99,1989-06-01
116,1989-06-01
129.95,1989-06-01
94.99,1989-06-01
134.99,1989-06-01
92.95,1989-06-01
85,1989-06-01
79.99,1989-06-01
95,1989-06-01
89.99,1989-06-01
129.99,1989-06-01
130.6,1989-06-01
146.95,1989-06-01
114.99,1989-06-01
119.95,1989-06-01
119.99,1989-06-01
119.99,1989-06-01
89.98,1989-06-01
79.99,1989-06-01
94.99,1989-06-01
114,1989-06-01
142.99,1989-06-01
134.95,1989-06-01
139.99,1989-06-01
149.99,1989-06-01
116.95,1989-06-01
69.99,1989-06-01
89.99,1989-06-01
119.95,1989-06-01
114,1989-06-01
114,1989-06-01
99.99,1989-06-01
116,1989-06-01
97,1989-06-01
135,1989-06-01
99.95,1989-06-01
89.99,1989-06-01
133.31,1989-06-01
89.99,1989-06-01
115,1989-06-01
125,1989-07-01
134.95,1989-07-01
116,1989-07-01
135,1989-07-01
114,1989-07-01
89.99,1989-07-01
130.6,1989-07-01
114.99,1989-07-01
119.99,1989-07-01
89.99,1989-07-01
89.99,1989-07-01
129.95,1989-07-01
125,1989-07-01
139.99,1989-07-01
125,1989-07-01
114,1989-07-01
99.99,1989-07-01
89.99,1989-07-01
144.99,1989-07-01
119.95,1989-07-01
92.95,1989-07-01
130,1989-07-01
142.99,1989-07-01
99.95,1989-07-01
119.99,1989-07-01
85,1989-07-01
133.31,1989-07-01
79.99,1989-07-01
119.95,1989-07-01
104.99,1989-07-01
115,1989-07-01
89.98,1989-07-01
119.99,1989-07-01
126.95,1989-07-01
146.95,1989-07-01
120.95,1989-07-01
149.99,1989-07-01
97,1989-07-01
89.99,1989-07-01
69.99,1989-07-01
116,1989-07-01
159.99,1989-07-01
114,1989-07-01
94.99,1989-07-01
159.99,1989-08-01
119.99,1989-08-01
94.95,1989-08-01
89.99,1989-08-01
85,1989-08-01
79.99,1989-08-01
114,1989-08-01
89.99,1989-08-01
124.99,1989-08-01
134.99,1989-08-01
104.99,1989-08-01
97,1989-08-01
125.95,1989-08-01
99.95,1989-08-01
89.99,1989-08-01
125,1989-08-01
89.99,1989-08-01
119.95,1989-08-01
89.99,1989-08-01
114.99,1989-08-01
130,1989-08-01
135,1989-08-01
125,1989-08-01
125,1989-08-01
99.99,1989-08-01
142.99,1989-08-01
116,1989-08-01
69.99,1989-08-01
130.6,1989-08-01
146.95,1989-08-01
129.99,1989-08-01
