date,p_mean,p_75,p_median,p_25
1988-02-01,105.3941,115,110,89.99
1988-03-01,108.2589,119.95,112.5,89.99
1988-04-01,113.1471,120,115,94.99
1988-05-01,119.9011,127.95,115,99.95
1988-06-01,117.9859,127,115,99.95
1988-07-01,112.0315,123.495,99.995,94.97
1988-09-01,119.835,127.475,115.975,99.95
1988-10-01,116.9829,127,115,95
1988-11-01,118.6514,127,115,95
1988-12-01,121.3,127,115.975,99.95
1989-01-01,112.8952,129.95,115,95
1989-03-01,114.1185,129.97,114.97,99.97
1989-05-01,113.8276,129.99,114.99,97
1989-06-01,112.6418,129.995,114.995,93.97
1989-07-01,115.233,129.975,117.975,95.995
1989-08-01,114.858,128.45,119.99,95.975
1989-09-01,114.7509,130.6,119.99,97
1989-10-01,118.3505,133.31,120.95,99.99
1989-11-01,116.842,130.25,119.99,99.99
1989-12-01,116.9102,130.5,119.99,99.99
1990-01-01,116.7437,130.5,119.99,99.99
1990-02-01,117.0882,130.5,119.99,99.99
1990-03-01,119.8898,130.5,119.99,104.99
1990-04-01,120.2178,134.95,119.99,104.99
1990-05-01,122.354,135,125,104.99
1990-06-01,123.3673,136.475,122.5,107.47
1990-07-01,123.1469,135.475,122.97,109.985
1990-08-01,123.8596,140.5,123.95,99.99
1990-09-01,126.5216,140,125.99,109.99
1990-10-01,124.0313,140.25,127.97,104.99
1990-11-01,125.728,140,129.95,104.99
1990-12-01,125.0818,140.5,129.475,104.99
1991-01-01,127.0788,145,130,104.99
1991-02-01,129.0291,148.75,130,102.62
1991-03-01,126.1394,145.95,129,99.95
1991-04-01,134.8452,157.1,139,104.99
1991-05-01,134.1591,151.95,139.99,104.99
1991-06-01,134.2733,150,139.99,99.99
1991-07-01,137.6827,151.95,139.99,109
1991-08-01,141.2383,151.95,139.99,124.95
1991-09-01,139.1109,154.99,139.99,119.95
1991-10-01,141.9161,155,139.99,119.99
1991-11-01,144.8622,155,139.99,124.95
1991-12-01,140.9384,154.99,139.99,119
1992-01-01,142.8691,159.95,139.99,111.99
1992-02-01,152.8905,178.95,149.5,119.99
1992-03-01,156.2661,179.99,149.99,122.9
1992-04-01,155.3346,181.475,149.99,124.99
1992-05-01,157.0369,185,150,124
1992-06-01,158.5664,184.995,151.475,129.97
1992-07-01,159.7484,184.99,154.99,138
1992-08-01,159.7178,184.45,154.99,130.655
1992-09-01,160.025,185,156,138.6
1992-10-01,163.1125,189.95,159.95,139.97
1992-11-01,163.7487,189.99,159.95,139.495
1992-12-01,160.9393,179.99,157.24,129.99
1993-01-01,159.8607,179.99,151.93,130
1993-02-01,161.6933,179.99,154.95,138.6
1993-03-01,175.5279,199.99,169,140
1993-04-01,180.0155,199.99,169.775,143.99
1993-05-01,182.1964,199.99,174.295,149
1993-06-01,184.2315,200,174.97,149
1993-07-01,184.5602,199.99,176.125,149.95
1993-08-01,184.5707,199.99,177.6,149.95
1993-09-01,185.3927,199.99,179,149.95
1993-10-01,183.9313,199.99,177.95,149.95
1993-11-01,186.0958,199.99,179,149.99
1993-12-01,186.4808,199.99,174.97,149.99
1994-01-01,183.5796,199,169.99,150
1994-02-01,178.8628,197.84,169.99,149.95
1994-03-01,174.6887,189.99,169.99,149.95
1994-04-01,180.9084,199.95,169.99,149.95
1994-05-01,180.7346,199,169.99,149.95
1994-06-01,180.1648,199,169.99,149
1994-07-01,178.3582,199,169.95,149.475
1994-08-01,183.2622,199.95,178,149.99
1994-09-01,179.0712,199.95,160,149.95
1994-10-01,179.9931,199.99,165.245,149.99
1994-11-01,178.5193,199.95,160,149.95
1994-12-01,180.1151,199.99,160,149.97
1995-01-01,181.6416,204.495,169,144.5
1995-02-01,178.8793,199.95,169.95,139
1995-03-01,175.9964,199.95,159.95,139
1995-04-01,174.5554,199.475,159,139
1995-05-01,177.9583,199.95,159.95,139
1995-06-01,177.4073,199.95,159,139
1995-07-01,176.2486,199.95,159,139
1995-08-01,179.5862,199.95,159.725,139
1995-09-01,179.4366,199.95,159.99,139
1995-10-01,179.065,198.5,160,139.95
1995-11-01,179.9653,199,164.99,139.95
1995-12-01,179.1145,199,160,139.95
1996-01-01,178.2779,199,160,139.95
1996-02-01,181.2159,199.99,160,139.95
1996-03-01,180.3401,199.99,160,139.95
1996-04-01,181.1725,199.99,160,139.99
1996-05-01,180.5832,199.99,162,139.99
1996-06-01,177.1101,199.95,160,139
1996-07-01,179.6039,199.99,160,139
1996-08-01,180.8017,199.99,167.725,139.97
1996-09-01,181.7174,199.95,165.5,139.99
1996-10-01,179.8316,199.99,160,139
1996-11-01,177.884,199.95,160,139
1996-12-01,178.0871,199.99,159.95,139
1997-01-01,181.5243,199.99,166.99,129.99
1997-02-01,182.0875,199.99,164.995,129.99
1997-03-01,182.6672,199.99,165,129.99
1997-04-01,183.9181,199.99,169,129.995
1997-05-01,186.1051,199.99,169.89,130
1997-06-01,185.0354,199.99,169,130
1997-07-01,185.813,199.99,159.99,129.99
1997-08-01,187.5888,199.99,165,130
1997-09-01,181.7133,199.99,159.99,130
1997-10-01,183.0009,199.99,159.99,130
1997-11-01,181.3522,199.99,159.99,130
1997-12-01,175.34,199.99,159.99,129.99
1998-01-01,174.5552,199.99,159.99,129
1998-02-01,176.7662,199.95,159.99,129.99
1998-03-01,173.9224,199.95,159.99,129.99
1998-04-01,173.5694,199.99,159.99,120
1998-05-01,181.2362,199.99,159.99,129.99
1998-06-01,181.9304,199.99,162.5,135.5
1998-07-01,179.0831,199.99,159.99,129
1998-08-01,178.9771,199.99,159.99,120
1998-09-01,177.9982,199.99,159.99,129
1998-10-01,174.1451,199.97,159.99,120
1998-11-01,173.7962,199.99,159.99,120
1998-12-01,173.3383,199.95,159.99,120
1999-01-01,167.4069,199,159.99,119
1999-02-01,172.975,199.99,158,119
1999-03-01,171.5131,199.99,150.495,110
1999-04-01,175.2638,199.99,157,109.75
1999-05-01,172.8982,199.99,157,109.85
1999-06-01,174.1318,199.99,152,109.75
1999-07-01,174.162,199.95,157,109.99
1999-08-01,173.098,199.99,150,109.75
1999-09-01,172.3437,199.95,159,114.99
1999-10-01,171.8612,199.95,155,109.95
1999-11-01,172.1134,199.95,154.5,109.75
1999-12-01,171.6685,199.99,150,109.75
2000-01-01,171.5658,199.99,149.99,100
2000-02-01,171.0876,199.99,149.495,99.99
2000-03-01,176.228,199.99,159.99,109.95
2000-04-01,181.9196,199.99,159.99,129
2000-05-01,171.9096,199.99,149,105
2000-06-01,179.0025,199.99,149.95,109.99
2000-07-01,176.763,199.99,150,114.99
2000-08-01,173.8091,199.99,149.99,109.495
2000-09-01,167.0222,199.99,149.495,114.99
2000-10-01,167.9171,199.99,147.5,109.95
2000-11-01,174.2512,199.99,149.99,112.49
2000-12-01,174.8064,199.99,149.99,115
2001-01-01,175.6931,199.99,149.97,119
2001-02-01,186.5658,224,150,124.99
2001-03-01,186.5785,229,150,124.99
2001-04-01,189.0747,225.95,154.5,124.99
2001-05-01,188.5914,225.95,150,124.99
2001-06-01,190.6769,229.99,150,124.99
2001-07-01,190.738,229.99,149.99,124.99
2001-08-01,187.9196,229,149.99,124.99
2001-09-01,181.4132,210,149,119.99
2001-10-01,188.4319,229.99,149.99,124.99
2001-11-01,186.9977,229,149.99,124.99
2001-12-01,186.4634,229.99,149,120
2002-01-01,186.6307,229.97,149.97,120
2002-02-01,192.5604,229.99,149.995,127.995
2002-03-01,192.6051,235,150,125
2002-04-01,189.9309,230,149.99,125
2002-05-01,189.8319,235,149.99,125
2002-06-01,188.3343,235,149.99,119.99
2002-07-01,187.2407,230,149.9,119.99
2002-08-01,186.8321,230,149.99,114.99
2002-09-01,196.3972,249,159.99,119.99
2002-10-01,184.5484,229.99,149.99,110
2002-11-01,179.8018,229,149,104.99
2002-12-01,180.9268,219.99,149,100
2003-01-01,179.7498,219.99,140,99.99
2003-02-01,179.0565,229.99,140,99.99
2003-03-01,181.593,229.99,145,99.99
2003-04-01,197.6508,249.99,159.99,114.99
2003-05-01,198.5717,249.99,165,114.99
2003-06-01,204.1376,249.99,166.95,114.99
2003-07-01,204.2143,249,165,114.99
2003-08-01,211.1286,249.95,159.995,129
2003-09-01,210.5929,249.99,159.995,129.475
2003-10-01,209.7891,249.99,172.495,129.99
2003-11-01,202.1414,239.99,159.99,119.99
2003-12-01,193.4017,229.99,159.99,109
2004-01-01,194.5719,249.95,159.99,99.99
2004-02-01,185.9086,209.99,180,149
2004-03-01,185.1225,200,189,149
2004-04-01,183.9095,200,185.5,149
2004-05-01,184.4819,199.995,185.5,149
2004-06-01,183.5395,199.99,185.5,149
2004-07-01,187.8946,200,199,149.99
2004-08-01,188.717,200,197,154.99
2004-09-01,188.9446,200,199,154.99
2004-10-01,188.8766,200,189.99,154.99
2004-11-01,187.5455,200,190,154.99
2004-12-01,188.16,199.99,195,154.99
2005-01-01,184.5484,200,192.5,149.99
2005-02-01,169.6429,200,185,99.99
2005-03-01,164.7477,200,180,99.99
2005-04-01,163.986,199.99,179.495,99.99
2005-05-01,164.1409,199.99,182.5,119.99
2005-06-01,171.5876,200,185,129.99
2005-07-01,167.621,200,179.99,129.99
2005-08-01,169.275,200,185,129.99
2005-09-01,169.3414,200,185,129.99
2005-10-01,171.2801,200,180,129.99
2005-11-01,170.8779,200,179.99,129.99
2005-12-01,170.5674,200,179.99,129.99
2006-01-01,169.5303,200,179.99,129.99
2006-02-01,167.7645,200,179.99,129.99
2006-03-01,164.5494,200,169.99,129.99
2006-04-01,163.9708,200,165,129.99
2006-05-01,165.1878,200,165,129.99
2006-06-01,165.2849,200,169.97,129.99
2006-07-01,165.6711,200,172.5,129.99
2006-08-01,167.788,200,179.99,139
2006-09-01,167.8786,200,179.99,129.99
2006-10-01,167.5689,200,172.5,129.99
2006-11-01,169.2218,200,177.495,134.495
2006-12-01,170.1117,200,169.995,139.99
2007-01-01,178.978,200,179.99,145.95
2007-02-01,180.8852,200,170,149.99
2007-03-01,178.9544,200,179.99,149.99
2007-04-01,179.4888,200,179.99,149.99
2007-05-01,175.6327,199.99,169.495,149.99
2007-06-01,172.5124,199.99,165,149.99
2007-07-01,172.2734,199.99,165,149.99
2007-08-01,172.4136,199.99,169,149
2007-09-01,170.7507,199.99,165,145
2007-10-01,172.0757,199.99,165,149.99
2007-11-01,172.0668,199.99,165,149.5
2007-12-01,170.8889,199.99,165,139.99
2008-01-01,170.4039,199.99,165,145
2008-02-01,179.3099,200,167,149.79
2008-03-01,175.9959,199.99,169,139.99
2008-04-01,177.3292,200,169.99,139.99
2008-05-01,179.6493,200,169.99,140
2008-06-01,183.5293,219.99,176.995,149.79
2008-07-01,186.7646,219.99,179.99,149.99
2008-08-01,188.8017,219.99,184.995,149.99
2008-09-01,199.5303,229.99,194.99,166.995
2008-10-01,202.5197,235,194.99,169
2008-11-01,204.1889,239.99,194.99,169.95
2008-12-01,204.0325,244.67,190.84,166.39
2009-01-01,215.0821,269.15,214.415,166.39
2009-02-01,231.8286,275,233.91,179.99
2009-03-01,221.4115,269.99,200,179.99
2009-04-01,241.1887,279.99,249.99,199.99
2009-05-01,242.3968,292.99,250,200
2009-06-01,244.6422,293.61,250,200
2009-07-01,244.2558,293.61,250,200
2009-08-01,254.352,299.99,250,200
2009-09-01,263.8124,299.99,254.995,200
2009-10-01,258.9021,299.99,250,199.495
2009-11-01,238.9917,289.99,249.99,179.99
2009-12-01,241.3438,289.99,249.99,179.99
2010-01-01,238.2459,289.99,245.21,179.99
2010-02-01,268.6998,325,250,199.99
2010-03-01,246.8362,299.99,249.99,179.99
2010-04-01,252.5013,299.99,249.99,179.99
2010-05-01,253.4534,299.99,249.99,179.99
2010-06-01,253.6114,299.99,249.99,179.99
2010-07-01,258.7234,300,250,199.99
2010-08-01,260.0712,300,250,199.99
2010-09-01,259.767,319.99,250,192.865
2010-10-01,266.2819,325,259.9899,179.99
2010-11-01,268.8541,329,265,180
2010-12-01,261.3416,325,256.995,179.99
2011-01-01,257.9493,329.495,259.99,159.99
2011-02-01,274.2929,339.99,296.99,199
2011-03-01,273.7877,339.99,270.995,179.99
2011-04-01,271.345,339.99,269.99,179.99
2011-05-01,275.6036,339.99,269.99,195.74
2011-06-01,270.5272,339.99,269,159.99
2011-07-01,265.8864,339.99,269.99,172.5
2011-08-01,259.8292,339.99,269.99,149.99
2011-09-01,267.8362,350,279.99,149.99
2011-10-01,254.0805,329.99,259.9899,159.99
2011-11-01,272.9715,349.99,272.5,154.995
2011-12-01,270.3674,349.99,270,150
2012-01-01,267.3246,340,269.99,149.99
2012-02-01,276.2716,349,289.99,159.99
2012-03-01,273.0621,350,269.99,149.99
2012-04-01,271.4248,349.99,269.99,149.99
2012-05-01,269.2921,349.99,269.99,149.99
2012-06-01,268.6214,349.99,269.99,140.99
2012-07-01,259.8174,332.995,254.5,139.99
2012-08-01,262.3319,339.99,250,149.99
2012-09-01,270.1993,349,280,149.99
2012-10-01,275.0763,350,280,159
2012-11-01,281.6559,350,270,140
2012-12-01,279.0729,350,272.495,129.99
2013-01-01,287.8684,350,279.995,154.99
2013-02-01,297.8738,350,287,140
2013-03-01,304.8067,352.5,289.99,159.99
2013-04-01,280.9117,359,287,139.99
2013-05-01,280.071,350,279.99,134.99
2013-06-01,283.7249,364.995,290.995,140
2013-07-01,287.3332,359,293.5,149.95
2013-08-01,280.1827,350,279.99,140
2013-09-01,269.2666,350,270,139.99
2013-10-01,279.4561,350,282.495,149.95
2013-11-01,285.9394,360,289.99,159.99
2013-12-01,285.2504,350,289.495,149.475
2014-01-01,277.3927,350,289.99,145
2014-02-01,324.2419,399,299.99,160
2014-03-01,315.2896,399,299,199
2014-04-01,320.6787,399,299,199
2014-05-01,314.956,399,299,169.995
2014-06-01,311.9364,375,299,199
2014-07-01,309.4058,360,299,199
2014-08-01,301.2038,359.99,299,199
2014-09-01,306.0359,370,297,179.99
2014-10-01,304.7551,387,295.5,179.99
2014-11-01,304.5232,399,299,179.99
2014-12-01,305.3898,399,299,179.99
2015-01-01,308.4152,399,299,199.495
2015-02-01,317.2537,399.99,299,199.99
2015-03-01,315.3549,399.99,299,199.99
2015-04-01,316.4986,399,299,199.99
2015-05-01,312.6371,399.99,299,199.99
2015-06-01,319.4666,400,299.495,199.99
2015-07-01,309.7837,399.495,299,199.99
2015-08-01,302.2724,377.99,299,199.95
2015-09-01,299.0645,379,299,188.99
2015-10-01,307.3029,399.99,299,199
2015-11-01,306.441,399.99,299,194
2015-12-01,306.6738,399.99,299,170
2016-01-01,314.4843,399.99,289.99,179
2016-02-01,315.7545,399.99,299,169
2016-03-01,322.1081,399.99,299,169.99
2016-04-01,315.1617,399.99,299,175
2016-05-01,323.446,400,299.99,170
2016-06-01,316.8499,399.99,299,170
2016-07-01,306.3833,377.495,299,179.995
2016-08-01,314.2559,390,299.99,159.99
2016-09-01,324.3786,400,299.99,149.99
2016-10-01,339.0721,405,325,159.99
2016-11-01,343.2122,405,325,159.99
2016-12-01,342.3084,400,320,169.99
2017-01-01,342.2159,425,325,170
2017-02-01,360.3033,450,329.99,184.495
2017-03-01,365.5465,450,330,199
2017-04-01,372.366,459,349,169.99
2017-05-01,374.9943,459,349,199
2017-06-01,367.5472,469.99,349,159.99
2017-07-01,359.0151,475,349,149.99
2017-08-01,354.5306,469.99,339.99,168
2017-09-01,351.8542,457.495,329.99,159.99
2017-10-01,361.3558,455,337,168
2017-11-01,342.3611,455,340,159.99
2017-12-01,344.4128,455,333,159.99
2018-01-01,352.8732,450,349.99,159.99
2018-02-01,380.6291,475,350,190
2018-03-01,386.0616,475,369,190
2018-04-01,379.8173,475,369,184
2018-05-01,385.1694,475,369,184
2018-06-01,385.4372,475,369,184
2018-07-01,384.7162,475,375,161
2018-08-01,379.3532,475,354.6,161
2018-09-01,371.9095,475,350,170
2018-10-01,368.6644,475,350,170
2018-11-01,348.7292,475,349.99,150
2018-12-01,356.0888,475,349.995,150
2019-01-01,371.2071,475,355,150
2019-02-01,381.3026,475,349.99,184.99
