LOCATION,SUBJECT,Value
AUS,BEEF,19.438
AUS,PIG,20.212
AUS,POULTRY,43.792
AUS,SHEEP,5.874
CAN,BEEF,17.578
CAN,PIG,15.881
CAN,POULTRY,35.527
CAN,SHEEP,0.974
JPN,BEEF,7.643
JPN,PIG,16.13
JPN,POULTRY,17.734
JPN,SHEEP,0.16
KOR,BEEF,11.85
KOR,PIG,31.565
KOR,POULTRY,18.742
KOR,SHEEP,0.332
MEX,BEEF,8.971
MEX,PIG,14.42
MEX,POULTRY,30.586
MEX,SHEEP,0.544
NZL,BEEF,11.548
NZL,PIG,19.063
NZL,POULTRY,40.079
NZL,SHEEP,3.446
TUR,BEEF,9.633
TUR,PIG,0
TUR,POULTRY,19.183
TUR,SHEEP,4.231
USA,BEEF,26.195
USA,PIG,23.983
USA,POULTRY,50.963
USA,SHEEP,0.431
ARG,BEEF,36.894
ARG,PIG,11.476
ARG,POULTRY,38.088
ARG,SHEEP,0.973
BRA,BEEF,24.445
BRA,PIG,12.753
BRA,POULTRY,40.762
BRA,SHEEP,0.521
CHL,BEEF,20.262
CHL,PIG,24.762
CHL,POULTRY,37.073
CHL,SHEEP,0.484
CHN,BEEF,4.186
CHN,PIG,22.718
CHN,POULTRY,14.191
CHN,SHEEP,3.305
COL,BEEF,8.62
COL,PIG,8.994
COL,POULTRY,31.704
COL,SHEEP,0.142
EGY,BEEF,7.8
EGY,PIG,0.002
EGY,POULTRY,11.243
EGY,SHEEP,1.093
ETH,BEEF,2.486
ETH,PIG,0.014
ETH,POULTRY,0.113
ETH,SHEEP,0.469
IND,BEEF,0.532
IND,PIG,0.168
IND,POULTRY,2.517
IND,SHEEP,0.458
IDN,BEEF,2.178
IDN,PIG,1.008
IDN,POULTRY,7.903
IDN,SHEEP,0.429
IRN,BEEF,5.77
IRN,PIG,0
IRN,POULTRY,23.474
IRN,SHEEP,4.184
ISR,BEEF,23.214
ISR,PIG,1.311
ISR,POULTRY,64.436
ISR,SHEEP,1.525
KAZ,BEEF,19.828
KAZ,PIG,4.664
KAZ,POULTRY,16.761
KAZ,SHEEP,8.247
MYS,BEEF,5.409
MYS,PIG,5.263
MYS,POULTRY,49.333
MYS,SHEEP,1.072
NGA,BEEF,1.306
NGA,PIG,1.079
NGA,POULTRY,0.842
NGA,SHEEP,1.72
PAK,BEEF,6.422
PAK,PIG,0
PAK,POULTRY,6.621
PAK,SHEEP,2.018
PRY,BEEF,12.034
PRY,PIG,21.479
PRY,POULTRY,5.339
PRY,SHEEP,0.493
PER,BEEF,4.143
PER,PIG,4.038
PER,POULTRY,45.957
PER,SHEEP,1.027
PHL,BEEF,3.129
PHL,PIG,14.898
PHL,POULTRY,13.742
PHL,SHEEP,0.506
RUS,BEEF,10.034
RUS,PIG,20.714
RUS,POULTRY,30.816
RUS,SHEEP,1.276
SAU,BEEF,3.868
SAU,PIG,0.402
SAU,POULTRY,34.83
SAU,SHEEP,4.387
ZAF,BEEF,11.395
ZAF,PIG,3.699
ZAF,POULTRY,34.5
ZAF,SHEEP,2.586
THA,BEEF,1.233
THA,PIG,9.873
THA,POULTRY,7.902
THA,SHEEP,0.043
UKR,BEEF,4.644
UKR,PIG,12.86
UKR,POULTRY,22.693
UKR,SHEEP,0.28
VNM,BEEF,8.254
VNM,PIG,25.017
VNM,POULTRY,16.521
VNM,SHEEP,0.167
WLD,BEEF,6.391
WLD,PIG,10.678
WLD,POULTRY,14.875
WLD,SHEEP,1.759
OECD,BEEF,14.425
OECD,PIG,22.856
OECD,POULTRY,31.708
OECD,SHEEP,1.269
BRICS,BEEF,4.349
BRICS,PIG,12.002
BRICS,POULTRY,12.067
BRICS,SHEEP,1.803
NOR,BEEF,12.806
NOR,PIG,21.102
NOR,POULTRY,17.837
NOR,SHEEP,4.477
CHE,BEEF,13.107
CHE,PIG,22.46
CHE,POULTRY,14.769
CHE,SHEEP,1.146
GBR,BEEF,11.329
GBR,PIG,15.816
GBR,POULTRY,30.451
GBR,SHEEP,3.928
