Date,token,share
2019-06-01,ADA,0.007921046
2019-09-01,ADA,0.008362143
2019-12-01,ADA,0.008296783
2020-03-01,ADA,0.012397375
2020-06-01,ADA,0.015908904
2020-09-01,ADA,0.01340961
2020-12-01,ADA,0.044596851
2021-03-01,ADA,0.053373865
2021-06-01,ADA,0.065924103
2021-09-01,ADA,0.03004179
2021-12-01,ADA,0.027152358
2022-03-01,ADA,0.025362155
2022-06-01,ADA,0.026096939
2022-09-01,ADA,0.021098551
2022-12-01,ADA,0.017610383
2019-06-01,BNB,0.016640567
2019-09-01,BNB,0.014448598
2019-12-01,BNB,0.015190159
2020-03-01,BNB,0.012628046
2020-06-01,BNB,0.013366371
2020-09-01,BNB,0.01092159
2020-12-01,BNB,0.031756496
2021-03-01,BNB,0.048229327
2021-06-01,BNB,0.049079914
2021-09-01,BNB,0.053468479
2021-12-01,BNB,0.049739514
2022-03-01,BNB,0.057777006
2022-06-01,BNB,0.072510318
2022-09-01,BNB,0.088452153
2022-12-01,BNB,0.078797083
2019-06-01,BTC,0.791278872
2019-09-01,BTC,0.73071663
2019-12-01,BTC,0.700360812
2020-03-01,BTC,0.736179228
2020-06-01,BTC,0.706835394
2020-09-01,BTC,0.716924581
2020-12-01,BTC,0.718164179
2021-03-01,BTC,0.533561631
2021-06-01,BTC,0.523381954
2021-09-01,BTC,0.513979121
2021-12-01,BTC,0.570212369
2022-03-01,BTC,0.601808848
2022-06-01,BTC,0.546668056
2022-09-01,BTC,0.530105217
2022-12-01,BTC,0.560678148
2019-06-01,DOGE,0.001345926
2019-09-01,DOGE,0.001461045
2019-12-01,DOGE,0.001187482
2020-03-01,DOGE,0.001296988
2020-06-01,DOGE,0.00127156
2020-09-01,DOGE,0.000846247
2020-12-01,DOGE,0.004987655
2021-03-01,DOGE,0.030377991
2021-06-01,DOGE,0.020157494
2021-09-01,DOGE,0.012629698
2021-12-01,DOGE,0.011467874
2022-03-01,DOGE,0.010603614
2022-06-01,DOGE,0.010909094
2022-09-01,DOGE,0.021525065
2022-12-01,DOGE,0.015052237
2019-06-01,DOT,0
2019-09-01,DOT,0.056126834
2019-12-01,DOT,0.082560633
2020-03-01,DOT,0.057777176
2020-06-01,DOT,0.023000867
2020-09-01,DOT,0.011849407
2020-12-01,DOT,0.032260719
2021-03-01,DOT,0.020204131
2021-06-01,DOT,0.021068699
2021-09-01,DOT,0.020649925
2021-12-01,DOT,0.015086314
2022-03-01,DOT,0.011838951
2022-06-01,DOT,0.011559398
2022-09-01,DOT,0.010194756
2022-12-01,DOT,0.008759268
2019-06-01,ETH,0.080974508
2019-09-01,ETH,0.084143225
2019-12-01,ETH,0.102313672
2020-03-01,ETH,0.102700388
2020-06-01,ETH,0.150444307
2020-09-01,ETH,0.128342696
2020-12-01,ETH,0.12874307
2021-03-01,ETH,0.221725896
2021-06-01,ETH,0.217726755
2021-09-01,ETH,0.238622249
2021-12-01,ETH,0.220214993
2022-03-01,ETH,0.210097556
2022-06-01,ETH,0.242069095
2022-09-01,ETH,0.228607584
2022-12-01,ETH,0.231225316
2019-06-01,MATIC,0.000424389
2019-09-01,MATIC,0.000634679
2019-12-01,MATIC,0.000428268
2020-03-01,MATIC,0.000703638
2020-06-01,MATIC,0.000580718
2020-09-01,MATIC,0.000306727
2020-12-01,MATIC,0.002727013
2021-03-01,MATIC,0.007945188
2021-06-01,MATIC,0.005955662
2021-09-01,MATIC,0.010850097
2021-12-01,MATIC,0.010166897
2022-03-01,MATIC,0.004303019
2022-06-01,MATIC,0.010094048
2022-09-01,MATIC,0.011130329
2022-12-01,MATIC,0.012272546
2019-06-01,SHIB,0
2019-09-01,SHIB,0
2019-12-01,SHIB,0
2020-03-01,SHIB,0
2020-06-01,SHIB,0
2020-09-01,SHIB,0
2020-12-01,SHIB,0
2021-03-01,SHIB,0.00136113
2021-06-01,SHIB,0.003170378
2021-09-01,SHIB,0.028766065
2021-12-01,SHIB,0.013201296
2022-03-01,SHIB,0.018027804
2022-06-01,SHIB,0.015580165
2022-09-01,SHIB,0.017643538
2022-12-01,SHIB,0.012929254
2019-06-01,SOL,1.20E-06
2019-09-01,SOL,1.41E-06
2019-12-01,SOL,1.19E-06
2020-03-01,SOL,1.13E-03
2020-06-01,SOL,7.40E-03
2020-09-01,SOL,1.84E-03
2020-12-01,SOL,5.33E-03
2021-03-01,SOL,1.20E-02
2021-06-01,SOL,3.08E-02
2021-09-01,SOL,4.81E-02
2021-12-01,SOL,3.36E-02
2022-03-01,SOL,2.22E-02
2022-06-01,SOL,2.19E-02
2022-09-01,SOL,1.11E-02
2022-12-01,SOL,7.94E-03
2019-06-01,XRP,0.101413493
2019-09-01,XRP,0.104105436
2019-12-01,XRP,0.089661002
2020-03-01,XRP,0.075182959
2020-06-01,XRP,0.081192186
2020-09-01,XRP,0.115561838
2020-12-01,XRP,0.031438604
2021-03-01,XRP,0.071227579
2021-06-01,XRP,0.062752596
2021-09-01,XRP,0.042881358
2021-12-01,XRP,0.049162369
2022-03-01,XRP,0.03802706
2022-06-01,XRP,0.042569332
2022-09-01,XRP,0.060097869
2022-12-01,XRP,0.054731346
