 correlation,size
 'BTC-USD-ETH-USD',0.9762343380032816
 'BTC-USD-BNB-USD',0.9108199023465642
 'BTC-USD-XRP-USD',0.922272215608357
 'BTC-USD-DOGE-USD',0.8786534949176186
 'BTC-USD-ADA-USD'0.9508054368963719
 'BTC-USD-MATIC-USD'0.8309743651986343
 'BTC-USD-DOT-USD',0.9618215752102672
 'BTC-USD-SHIB-USD',0.9431853853002525
 'BTC-USD-LTC-USD',0.9207412688806054
 'BTC-USD-SOL-USD',0.9423903376393143
 'BTC-USD-UNI-USD',-0.08344135606891828
 'BTC-USD-AVAX-USD',0.9745381777497695
 'BTC-USD-LEO-USD',0.2888551908427564
 'BTC-USD-LINK-USD',0.8802853678707492
 'BTC-USD-ATOM-USD',0.8756136061872636
 'BTC-USD-XLM-USD',0.9572247624890234
 'BTC-USD-CRO-USD',0.9810358961717052
 'BTC-USD-ALGO-USD',0.8894140176673729
 'BTC-USD-VET-USD',0.9478200494892067
 'BTC-USD-HBAR-USD',0.9625018691993902
 'BTC-USD-FIL-USD',0.9371570867718614
 'BTC-USD-ICP-USD',0.9165276464051193
 'BTC-USD-EOS-USD',0.9411024268986964
 'BTC-USD-BSV-USD',0.9259410113579349
 'BTC-USD-AAVE-USD',0.9213940955497945
 'BTC-USD-AXS-USD',0.9373557968441516
 'BTC-USD-THETA-USD',0.9450566808048001
 'BTC-USD-XTZ-USD',0.9635984478347411
 'BTC-USD-MANA-USD',0.9552885102667341
