Date,Open,High,Low,Close
2019-01-07,4078.584961,4109.020996,3544.927246,3552.953125
2019-01-14,3557.311035,3758.533447,3552.285156,3601.013672
2019-01-21,3600.372803,3654.933105,3539.721436,3583.96582
2019-01-28,3584.283203,3586.750977,3400.819824,3464.013428
2019-02-04,3467.21167,3695.614014,3391.023682,3690.188232
2019-02-11,3695.613037,3695.613037,3607.697754,3673.836182
2019-02-18,3671.369873,4210.641602,3669.982422,3810.42749
2019-02-25,3807.002441,3913.707275,3787.058838,3847.175781
2019-03-04,3845.091553,3987.237793,3733.749756,3951.599854
2019-03-11,3953.740234,4077.036377,3863.559082,4025.229004
2019-03-18,4029.968506,4097.359863,4005.151367,4022.168213
2019-03-25,4024.112793,4296.806641,3934.03125,4105.404297
2019-04-01,4105.362305,5307.003418,4096.901367,5198.896973
2019-04-08,5199.835449,5421.651367,4955.852539,5167.722168
2019-04-15,5167.321777,5359.924805,5024.069336,5314.53125
2019-04-22,5312.494629,5642.044434,5177.368652,5285.13916
2019-04-29,5284.858398,5886.893555,5216.487793,5795.708496
2019-05-06,5791.693359,7503.87207,5653.6875,6972.371582
2019-05-13,6971.178223,8320.824219,6898.282227,8197.689453
2019-05-20,8196.923828,8687.520508,7533.196777,8673.21582
2019-05-27,8674.072266,9008.314453,8172.550781,8742.958008
2019-06-03,8741.74707,8743.5,7564.48877,7688.077148
2019-06-10,7692.284668,9335.867188,7586.730957,8994.488281
2019-06-17,8988.923828,11246.14453,8988.923828,10855.37109
2019-06-24,10853.74414,13796.48926,10491.85254,10817.15527
2019-07-01,10796.93066,12006.0752,9737.884766,11450.84668
2019-07-08,11446.59668,13129.5293,10234.57617,10256.05859
2019-07-15,10257.83887,11052.7666,9163.134766,10599.10547
2019-07-22,10596.94824,10651.79102,9252.296875,9552.860352
2019-07-29,9548.178711,11009.20703,9437.335938,10970.18457
2019-08-05,10960.73535,12273.82129,10960.73535,11523.5791
2019-08-12,11528.18945,11528.18945,9675.316406,10345.81055
2019-08-19,10350.2832,10947.04199,9831.462891,10138.51758
2019-08-26,10126.2998,10512.32813,9421.629883,9757.970703
2019-09-02,9757.473633,10898.76172,9730.650391,10441.27637
2019-09-09,10443.22852,10450.31152,9980.776367,10347.71289
2019-09-16,10347.22266,10386.86719,9851.692383,10070.39258
2019-09-23,10067.96289,10074.23828,7895.629395,8104.185547
2019-09-30,8104.226563,8497.692383,7830.758789,7988.155762
2019-10-07,7989.120605,8721.780273,7905.766113,8321.005859
2019-10-14,8320.832031,8410.714844,7902.164063,8222.078125
2019-10-21,8225.115234,10021.74414,7446.98877,9551.714844
2019-10-28,9565.101563,9805.118164,9028.717773,9235.354492
2019-11-04,9235.607422,9505.051758,8775.53418,9055.526367
2019-11-11,9056.917969,9081.279297,8473.973633,8577.975586
2019-11-18,8573.980469,8653.280273,6936.706543,7047.916992
2019-11-25,7039.977051,7836.102051,6617.166992,7424.29248
2019-12-02,7424.036133,7743.431641,7170.922852,7564.345215
2019-12-09,7561.79541,7618.091797,6924.375977,7152.301758
2019-12-16,7153.663086,7518.033203,6540.049316,7511.588867
2019-12-23,7508.902344,7656.17627,7189.934082,7422.652832
2019-12-30,7420.272949,7544.49707,6914.996094,7411.317383
2020-01-06,7410.452148,8396.738281,7409.292969,8192.494141
2020-01-13,8189.771973,9164.362305,8079.700684,8706.245117
2020-01-20,8704.631836,8792.994141,8266.84082,8596.830078
2020-01-27,8597.308594,9553.125977,8597.308594,9344.365234
2020-02-03,9344.683594,10129.43555,9112.811523,10116.67383
2020-02-10,10115.55957,10457.62695,9722.386719,9934.433594
2020-02-17,9936.560547,10191.67578,9507.637695,9924.515625
2020-02-24,9921.583008,9951.746094,8471.212891,8562.454102
2020-03-02,8563.264648,9167.695313,8105.25293,8108.116211
2020-03-09,8111.146484,8177.793457,4106.980957,5392.314941
2020-03-16,5385.229492,6844.261719,4575.35791,5830.254883
2020-03-23,5831.374512,6892.51123,5785.004395,5922.042969
2020-03-30,5925.538574,7088.247559,5903.234375,6791.129395
2020-04-06,6788.049805,7427.939453,6782.889648,6971.091797
2020-04-13,6965.616699,7280.521973,6555.504395,7189.424805
2020-04-20,7186.873535,7700.594238,6834.442383,7679.867188
2020-04-27,7679.418945,9440.650391,7679.418945,8897.46875
2020-05-04,8895.745117,9996.743164,8395.107422,8756.430664
2020-05-11,8755.535156,9823.001953,8374.323242,9670.739258
2020-05-18,9675.695313,9906.030273,8787.250977,8790.368164
2020-05-25,8786.107422,9704.030273,8719.667969,9461.058594
2020-06-01,9463.605469,10199.56543,9450.899414,9758.852539
2020-06-08,9760.063477,9938.297852,9263.069336,9386.788086
2020-06-15,9386.035156,9579.430664,8990.175781,9303.629883
2020-06-22,9300.915039,9680.367188,8975.525391,9143.582031
2020-06-29,9140.029297,9309.754883,8977.015625,9073.942383
2020-07-06,9072.849609,9450.335938,9058.664063,9276.5
2020-07-13,9277.205078,9306.405273,9088.947266,9185.817383
2020-07-20,9187.220703,10023.80762,9137.509766,9905.166992
2020-07-27,9905.217773,12034.14453,9903.969727,11053.61426
2020-08-03,11043.76855,11902.33594,11012.41504,11675.73926
2020-08-10,11662.25684,12150.99414,11195.70898,11892.80371
2020-08-17,11895.6582,12359.05664,11448.80566,11664.84766
