Date,GOLD,SPX
12/12/2019,1486.384033,
13/12/2019,1458.177612,3168.800049
14/12/2019,1489.392456,
15/12/2019,1485.790161,
16/12/2019,1488.536255,3191.449951
17/12/2019,1463.868896,3192.52002
18/12/2019,1471.60144,3191.139893
19/12/2019,1480.810791,3205.370117
20/12/2019,1474.978638,3221.219971
21/12/2019,1476.230103,
22/12/2019,1486.888062,
23/12/2019,1470.934448,3224.01001
24/12/2019,1483.790405,3223.379883
25/12/2019,1489.571655,
26/12/2019,1480.01355,3239.909912
27/12/2019,1524.727173,3240.02002
28/12/2019,1514.853638,
29/12/2019,1536.425171,
30/12/2019,1540.394775,3221.290039
31/12/2019,1532.916382,3230.780029
01/01/2020,1528.142334,
02/01/2020,1525.200195,3257.850098
03/01/2020,1537.159546,3234.850098
04/01/2020,1546.680542,
05/01/2020,1547.752563,
06/01/2020,1539.739624,3246.280029
07/01/2020,1538.278687,3237.179932
08/01/2020,1575.60144,3253.050049
09/01/2020,1567.36853,3274.699951
10/01/2020,1514.934814,3265.350098
11/01/2020,1520.12439,
12/01/2020,1523.797363,
13/01/2020,1527.764526,3288.129883
14/01/2020,1568.980347,3283.149902
15/01/2020,1521.476196,3289.290039
16/01/2020,1515.410645,3316.810059
17/01/2020,1589.678589,3329.620117
18/01/2020,1592.042847,
19/01/2020,1583.708008,
20/01/2020,1592.106323,
21/01/2020,1583.84436,3320.790039
22/01/2020,1578.75647,3321.75
23/01/2020,1583.282471,3325.540039
24/01/2020,1589.523071,3295.469971
25/01/2020,1587.393433,
26/01/2020,1591.157104,
27/01/2020,1591.45459,3243.629883
28/01/2020,1588.904907,3276.23999
29/01/2020,1591.641479,3273.399902
30/01/2020,1592.78894,3283.659912
31/01/2020,1596.103516,3225.52002
01/02/2020,1594.583008,
02/02/2020,1605.800903,
03/02/2020,1603.106445,3248.919922
04/02/2020,1595.623413,3297.590088
05/02/2020,1611.886597,3334.689941
06/02/2020,1572.948364,3345.780029
07/02/2020,1575.113525,3327.709961
08/02/2020,1570.333862,
09/02/2020,1601.422852,
10/02/2020,1584.070313,3352.090088
11/02/2020,1583.150757,3357.75
12/02/2020,1591.223145,3379.449951
13/02/2020,1587.866821,3373.939941
14/02/2020,1593.389038,3380.159912
15/02/2020,1590.356323,
16/02/2020,1588.894775,
17/02/2020,1590.639038,
18/02/2020,1540.744629,3370.290039
19/02/2020,1539.957886,3386.149902
20/02/2020,1552.895874,3373.22998
21/02/2020,1584.844238,3337.75
22/02/2020,1586.36731,
23/02/2020,1638.931152,
24/02/2020,1666.601563,3225.889893
25/02/2020,1655.569214,3128.209961
26/02/2020,1663.573364,3116.389893
27/02/2020,1679.141968,2978.76001
28/02/2020,1619.408447,2954.219971
29/02/2020,1621.632813,
01/03/2020,1610.022949,
02/03/2020,1615.334229,3090.22998
03/03/2020,1643.995728,3003.370117
04/03/2020,1641.425659,3130.120117
05/03/2020,1644.90271,3023.939941
06/03/2020,1656.56897,2972.370117
07/03/2020,1665.389771,
08/03/2020,1678.58728,
09/03/2020,1630.663818,2746.560059
10/03/2020,1635.749146,2882.22998
11/03/2020,1645.137695,2741.379883
12/03/2020,1606.336548,2480.639893
13/03/2020,1587.811035,2711.02002
14/03/2020,1558.69519,
15/03/2020,1578.443237,
16/03/2020,1547.879517,2386.129883
17/03/2020,1543.072266,2529.189941
18/03/2020,1513.48938,2398.100098
19/03/2020,1549.285645,2409.389893
20/03/2020,1524.383423,2304.919922
21/03/2020,1574.307861,
22/03/2020,1532.936523,
23/03/2020,1598.807739,2237.399902
24/03/2020,1654.797363,2447.330078
25/03/2020,1627.019531,2475.560059
