date,interest
2018-01-07,35
2018-01-14,29
2018-01-21,20
2018-01-28,20
2018-02-04,17
2018-02-11,13
2018-02-18,11
2018-02-25,10
2018-03-04,10
2018-03-11,10
2018-03-18,9
2018-03-25,8
2018-04-01,7
2018-04-08,8
2018-04-15,8
2018-04-22,8
2018-04-29,9
2018-05-06,8
2018-05-13,8
2018-05-20,7
2018-05-27,7
2018-06-03,6
2018-06-10,7
2018-06-17,5
2018-06-24,6
2018-07-01,5
2018-07-08,5
2018-07-15,6
2018-07-22,6
2018-07-29,5
2018-08-05,6
2018-08-12,6
2018-08-19,5
2018-08-26,5
2018-09-02,6
2018-09-09,6
2018-09-16,5
2018-09-23,5
2018-09-30,6
2018-10-07,6
2018-10-14,5
2018-10-21,4
2018-10-28,5
2018-11-04,5
2018-11-11,5
2018-11-18,6
2018-11-25,5
2018-12-02,5
2018-12-09,4
2018-12-16,5
2018-12-23,5
2018-12-30,4
2019-01-06,5
2019-01-13,4
2019-01-20,4
2019-01-27,4
2019-02-03,4
2019-02-10,4
2019-02-17,5
2019-02-24,4
2019-03-03,4
2019-03-10,4
2019-03-17,4
2019-03-24,4
2019-03-31,5
2019-04-07,5
2019-04-14,5
2019-04-21,5
2019-04-28,5
2019-05-05,5
2019-05-12,7
2019-05-19,5
2019-05-26,6
2019-06-02,5
2019-06-09,6
2019-06-16,8
2019-06-23,8
2019-06-30,7
2019-07-07,6
2019-07-14,6
2019-07-21,5
2019-07-28,5
2019-08-04,5
2019-08-11,5
2019-08-18,5
2019-08-25,4
2019-09-01,4
2019-09-08,4
2019-09-15,5
2019-09-22,5
2019-09-29,5
2019-10-06,4
2019-10-13,4
2019-10-20,4
2019-10-27,4
2019-11-03,4
2019-11-10,4
2019-11-17,4
2019-11-24,4
2019-12-01,4
2019-12-08,4
2019-12-15,4
2019-12-22,4
2019-12-29,4
2020-01-05,4
2020-01-12,5
2020-01-19,4
2020-01-26,4
2020-02-02,5
2020-02-09,8
2020-02-16,6
2020-02-23,5
2020-03-01,5
2020-03-08,6
2020-03-15,5
2020-03-22,4
2020-03-29,5
2020-04-05,6
2020-04-12,5
2020-04-19,5
2020-04-26,6
2020-05-03,6
2020-05-10,7
2020-05-17,6
2020-05-24,6
2020-05-31,6
2020-06-07,6
2020-06-14,6
2020-06-21,6
2020-06-28,6
2020-07-05,7
2020-07-12,7
2020-07-19,7
2020-07-26,9
2020-08-02,9
2020-08-09,9
2020-08-16,10
2020-08-23,8
2020-08-30,9
2020-09-06,8
2020-09-13,7
2020-09-20,6
2020-09-27,6
2020-10-04,6
2020-10-11,5
2020-10-18,6
2020-10-25,6
2020-11-01,6
2020-11-08,7
2020-11-15,8
2020-11-22,11
2020-11-29,9
2020-12-06,8
2020-12-13,10
2020-12-20,11
2020-12-27,14
2021-01-03,24
2021-01-10,22
2021-01-17,18
2021-01-24,25
2021-01-31,33
2021-02-07,42
2021-02-14,39
2021-02-21,36
2021-02-28,27
2021-03-07,32
2021-03-14,36
2021-03-21,31
2021-03-28,36
2021-04-04,41
2021-04-11,58
2021-04-18,73
2021-04-25,56
2021-05-02,82
2021-05-09,100
2021-05-16,88
2021-05-23,60
2021-05-30,44
2021-06-06,39
2021-06-13,33
2021-06-20,34
2021-06-27,26
2021-07-04,25
2021-07-11,23
2021-07-18,26
2021-07-25,28
2021-08-01,28
2021-08-08,34
2021-08-15,36
2021-08-22,38
2021-08-29,39
2021-09-05,47
2021-09-12,37
2021-09-19,36
2021-09-26,30
2021-10-03,42
2021-10-10,41
2021-10-17,45
2021-10-24,70
2021-10-31,82
2021-11-07,73
2021-11-14,72
2021-11-21,75
2021-11-28,72
2021-12-05,59
2021-12-12,54
2021-12-19,50
2021-12-26,57
2022-01-02,72
2022-01-09,64
2022-01-16,68
2022-01-23,61
2022-01-30,58
2022-02-06,56
2022-02-13,54
2022-02-20,45
2022-02-27,42
2022-03-06,41
2022-03-13,38
2022-03-20,41
2022-03-27,48
2022-04-03,41
2022-04-10,36
2022-04-17,37
2022-04-24,36
2022-05-01,35
2022-05-08,72
2022-05-15,43
2022-05-22,34
2022-05-29,29
2022-06-05,27
2022-06-12,41
2022-06-19,29
2022-06-26,26
2022-07-03,25
2022-07-10,24
2022-07-17,26
2022-07-24,25
2022-07-31,24
2022-08-07,24
2022-08-14,26
2022-08-21,23
2022-08-28,25
2022-09-04,23
2022-09-11,23
2022-09-18,23
2022-09-25,21
2022-10-02,21
2022-10-09,21
2022-10-16,20
2022-10-23,21
2022-10-30,23
2022-11-06,35
2022-11-13,34
2022-11-20,23
2022-11-27,22
2022-12-04,20
2022-12-11,22
2022-12-18,19
2022-12-25,20
2023-01-01,17
