date,m1,spy,spy_over_m1
1993-02,34.20213,43.96875,1.2855559
1993-03,34.36429,44.5625,1.296767662
1993-04,34.66875,45.25,1.305210023
1993-05,35.27436,44.09375,1.250022679
1993-06,35.57882,45.375,1.275337406
1993-07,35.89321,45.125,1.257201571
1993-08,36.2109,44.90625,1.240130734
1993-09,36.54184,46.40625,1.269948366
1993-10,36.83637,45.875,1.24537244
1993-11,37.2004,46.78125,1.257546962
1993-12,37.38242,46.59375,1.246408071
1994-01,37.4486,46.59375,1.244205391
1994-02,37.60414,48.15625,1.280610326
1994-03,37.7299,46.8125,1.240726851
1994-04,37.76299,43.34375,1.147783849
1994-05,37.8358,45.09375,1.191827581
1994-06,37.89867,45.703125,1.205929522
1994-07,38.08069,44.6875,1.173495018
1994-08,38.07738,45.9375,1.206424917
1994-09,38.1204,47.5,1.246051983
1994-10,38.06414,46.203125,1.213822905
1994-11,38.08731,47.28125,1.241391162
1994-12,38.08069,45.640625,1.198524108
1995-01,38.10385,45.703125,1.199435884
1995-02,37.97148,47.15625,1.241886016
1995-03,37.94831,48.96875,1.290406608
1995-04,38.03436,50.09375,1.317065674
1995-05,37.90198,51.546875,1.360004807
1995-06,37.86558,53.40625,1.410416795
1995-07,37.9086,54.46875,1.436844146
1995-08,37.90529,56.234375,1.483549526
1995-09,37.79277,56.390625,1.49210087
1995-10,37.63723,58.484375,1.553896899
1995-11,37.53133,58.28125,1.552869296
1995-12,37.31292,60.984375,1.634403713
1996-01,37.18055,61.40625,1.651569167
1996-02,37.01508,63.609375,1.718471904
1996-03,37.15076,64.640625,1.73995431
1996-04,37.22356,65,1.746205898
1996-05,36.94889,65.375,1.769335967
1996-06,36.90587,66.890625,1.812465741
1996-07,36.81321,67.28125,1.827638774
1996-08,36.4558,64.15625,1.759836569
1996-09,36.27709,64.46875,1.777120216
1996-10,35.92961,68.703125,1.912158941
1996-11,35.8568,70.984375,1.979662853
1996-12,35.784,75.921875,2.121670998
1997-01,35.78069,74.375,2.078635152
1997-02,35.70126,78.71875,2.204929182
1997-03,35.49277,78.75,2.218761737
1997-04,35.20817,75.25,2.137288022
1997-05,35.20486,80.21875,2.278627155
1997-06,35.28098,85.34375,2.418973339
1997-07,35.26112,88.5,2.509846539
1997-08,35.58544,95.5,2.683681865
1997-09,35.30745,90.6875,2.568508912
1997-10,35.26443,95.25,2.701021965
1997-11,35.43983,93.1875,2.629456744
1997-12,35.48616,96.21875,2.711444405
1998-01,35.54242,97.3125,2.737925555
1998-02,35.66817,99.90625,2.800991753
1998-03,35.63839,105.25,2.953275948
1998-04,35.62515,110.3125,3.09647819
1998-05,35.71119,111.75,3.129271245
1998-06,35.61853,108.96875,3.059327547
1998-07,35.57882,114.0625,3.205910145
1998-08,35.60529,111.78125,3.139456244
1998-09,35.73767,96.0625,2.687990012
1998-10,35.93954,100.03125,2.783320265
1998-11,36.23407,110.8125,3.05824049
1998-12,36.23738,116.125,3.204563906
1999-01,36.33997,123.375,3.395022065
1999-02,36.29364,128.6875,3.545731428
1999-03,36.29033,123.65625,3.40741597
1999-04,36.4558,129.6875,3.557390045
1999-05,36.5286,133.4375,3.652959599
1999-06,36.39623,130.125,3.575232929
1999-07,36.37306,137,3.766523905
1999-08,36.37637,132.75,3.64934709
1999-09,36.28702,132.9375,3.663500061
1999-10,36.51205,127.9375,3.503980193
1999-11,36.75695,136.5,3.713583418
1999-12,37.13752,139.3125,3.751260181
2000-01,37.13421,148.25,3.992275586
2000-02,36.68745,139.75,3.80920451
2000-03,36.65105,137.625,3.755008383
2000-04,36.91911,150.125,4.066322292
2000-05,36.56501,146.5625,4.008271842
2000-06,36.48889,143.6875,3.93784245
2000-07,36.51867,145.4375,3.982551939
2000-08,36.40947,143.625,3.944715482
2000-09,36.39292,153.25,4.210983895
2000-10,36.35983,144.28125,3.968149741
2000-11,36.15134,142.25,3.934847228
2000-12,36.02558,133.1875,3.697025836
2001-01,36.29364,132,3.637000863
2001-02,36.44256,137.100006,3.762084936
2001-03,36.69738,124.050003,3.380350396
2001-04,36.95551,116.300003,3.147027412
2001-05,37.01508,125.07,3.378893143
