,Year,Debt,DebtT
0,2019,22719,22.719
1,2018,21516,21.516
2,2017,20244,20.244
3,2016,19573,19.573
4,2015,18150,18.15
5,2014,17824,17.824
6,2013,16738,16.738
7,2012,16066,16.066
8,2011,14790,14.79
9,2010,13562,13.562
10,2009,11910,11.91
11,2008,10025,10.025
12,2007,9008,9.008
13,2006,8507,8.507
14,2005,7933,7.933
15,2004,7379,7.379
16,2003,6783,6.783
17,2002,6228,6.228
18,2001,5807,5.807
19,2000,5674,5.674
20,1999,5656,5.656
21,1998,5526,5.526
22,1997,5413,5.413
23,1996,5225,5.225
24,1995,4974,4.974
25,1994,4693,4.693
26,1993,4411,4.411
27,1992,4065,4.065
28,1991,3665,3.665
