Year,Price
2022,"4,796.56"
2021,3700.65
2020,3257.85
2019,2510.03
2018,2695.81
2017,2257.83
2016,2012.66
2015,2058.2
2014,1831.98
2013,1462.42
2012,1277.06
2011,1271.87
2010,1132.99
2009,931.8
2008,1447.16
2007,1416.6
2006,1268.8
2005,1202.08
2004,1108.48
2003,909.03
2002,1154.67
2001,1283.27
2000,1455.22
1999,1228.1
1998,975.04
1997,737.01
1996,620.73
1995,459.11
1994,465.44
1993,435.38
1992,417.26
1991,326.45
1990,359.69
1989,275.31
1988,255.94
1987,246.45
1986,209.59
1985,165.37
1984,164.04
1983,138.34
1982,122.74
1981,136.34
1980,105.76
1979,96.73
1978,93.82
1977,107
1976,90.9
1975,70.23
1974,97.68
1973,119.1
1972,101.67
1971,91.15
1970,93
1969,103.93
1968,96.11
1967,80.38
1966,92.18
1965,84.23
1964,75.43
1963,62.69
1962,70.96
1961,57.57
1960,59.91
1959,55.44
1958,40.33
1957,46.2
1956,45.16
1955,36.75
1954,24.95
1953,26.54
1952,23.8
1951,20.77
1950,16.66
1949,14.95
1948,15.34
1947,15.2
1946,17.25
1945,13.33
1944,11.66
1943,9.84
1942,8.89
1941,10.48
1940,12.63
1939,13.08
1938,10.52
1937,17.02
1936,13.4
1935,9.51
1934,10.11
1933,6.83
1932,7.82
1931,15.85
1930,21.18
1929,24.81
1928,17.76
