date,FTT,BTC
2022-11-21,1.4311,15780
2022-11-20,1.4311,16286.7
2022-11-19,1.4321,16699.2
2022-11-18,1.4322,16638.3
2022-11-17,1.4331,16691.2
2022-11-16,1.4337,16540.5
2022-11-15,1.4433,16895.1
2022-11-14,1.4899,16613.7
2022-11-13,1.5137,16324.5
2022-11-12,2.1037,16795.2
2022-11-11,2.6004,17049.9
2022-11-10,3.5103,17589.1
2022-11-09,2.2607,15886.9
2022-11-08,5.4899,18527.4
2022-11-07,22.0903,20589
2022-11-06,22.2702,20916.3
2022-11-05,24.0682,21301.6
2022-11-04,25.4593,21145.9
2022-11-03,24.36,20206.4
2022-11-02,25.02,20154.4
2022-11-01,25.8507,20483.5
2022-10-31,26.0923,20496.3
2022-10-30,25.6486,20626.3
2022-10-29,25.43,20809.8
2022-10-28,24.7706,20594.4
2022-10-27,24.2602,20292.9
2022-10-26,24.6495,20769.5
2022-10-25,23.8516,20082.7
2022-10-24,22.79,19331.5
2022-10-23,23.1495,19571.2
2022-10-22,22.5887,19204.8
2022-10-21,22.4487,19162.6
