Date,BTC,FTT
2022-09-29,19573.05078,24.31962013
2022-09-30,19431.78906,24.24028587
2022-10-01,19312.0957,24.2833252
2022-10-02,19044.10742,24.03232574
2022-10-03,19623.58008,24.76327705
2022-10-04,20336.84375,25.11747742
2022-10-05,20160.7168,24.77702713
2022-10-06,19955.44336,24.4938488
2022-10-07,19546.84961,24.50328064
2022-10-08,19416.56836,24.13175964
2022-10-09,19446.42578,24.12228012
2022-10-10,19141.48438,23.57093811
2022-10-11,19051.41797,23.24582863
2022-10-12,19157.44531,23.36237526
2022-10-13,19382.9043,23.43865013
2022-10-14,19185.65625,23.45812988
2022-10-15,19067.63477,23.27086067
2022-10-16,19268.09375,23.73214531
2022-10-17,19550.75781,24.12624168
2022-10-18,19334.41602,23.58610535
2022-10-19,19139.53516,22.59569168
2022-10-20,19053.74023,22.4116745
2022-10-21,19172.46875,22.44794273
2022-10-22,19208.18945,22.58032417
2022-10-23,19567.00781,23.14757156
2022-10-24,19345.57227,22.79256058
2022-10-25,20095.85742,23.87618446
2022-10-26,20770.44141,24.64817619
2022-10-27,20285.83594,24.26979065
2022-10-28,20595.35156,24.7888298
2022-10-29,20818.47656,25.43245125
2022-10-30,20635.60352,25.64755058
2022-10-31,20495.77344,26.10943031
2022-11-01,20485.27344,25.87347794
2022-11-02,20159.50391,25.0316124
2022-11-03,20209.98828,24.35831451
2022-11-04,21147.23047,25.47249222
2022-11-05,21282.69141,24.05929565
2022-11-06,20926.48633,22.26925087
2022-11-07,20602.81641,22.14219666
2022-11-08,18541.27148,5.518904209
2022-11-09,15880.78027,2.300627947
2022-11-10,17586.77148,3.516937971
2022-11-11,17034.29297,2.590421915
2022-11-12,16799.18555,2.088901043
2022-11-13,16353.36523,1.489264011
2022-11-14,16618.19922,1.474763989
2022-11-15,16884.61328,1.835912943
2022-11-16,16669.43945,1.623175025
2022-11-17,16687.51758,1.561679006
2022-11-18,16697.77734,1.457185984
2022-11-19,16711.54688,1.416962028
2022-11-20,16291.83203,1.334314942
2022-11-21,15787.28418,1.255802989
2022-11-22,16189.76953,1.331148982
2022-11-23,16610.70703,1.298517942
2022-11-24,16604.46484,1.376588941
2022-11-25,16521.8418,1.400514007
2022-11-26,16464.28125,1.364938974
2022-11-27,16444.62695,1.315469027
2022-11-28,16217.32227,1.29509306
2022-11-29,16444.98242,1.303768992
2022-11-30,17168.56641,1.33989203
