Date,BTC,FTT
2022-01-01,47686.8125,40.20424652
2022-01-02,47345.21875,40.18291855
2022-01-03,46458.11719,40.2234993
2022-01-04,45897.57422,41.43707275
2022-01-05,43569.00391,38.21641922
2022-01-06,43160.92969,38.66798782
2022-01-07,41557.90234,35.4932518
2022-01-08,41733.94141,35.23113632
2022-01-09,41911.60156,37.21450043
2022-01-10,41821.26172,38.08766174
2022-01-11,42735.85547,39.73418808
2022-01-12,43949.10156,41.4346962
2022-01-13,42591.57031,40.93390274
2022-01-14,43099.69922,44.60035324
2022-01-15,43177.39844,46.06550217
2022-01-16,43113.87891,46.42499161
2022-01-17,42250.55078,44.4002533
2022-01-18,42375.63281,44.96219254
2022-01-19,41744.32813,46.73438263
2022-01-20,40680.41797,45.22596359
2022-01-21,36457.31641,38.4553299
2022-01-22,35030.25,33.47580338
2022-01-23,36276.80469,35.95437241
2022-01-24,36654.32813,35.61169052
2022-01-25,36954.00391,36.44079971
2022-01-26,36852.12109,36.5316658
2022-01-27,37138.23438,38.28979111
2022-01-28,37784.33203,40.04177856
2022-01-29,38138.17969,41.65922928
2022-01-30,37917.60156,41.0958786
2022-01-31,38483.125,43.67175293
2022-02-01,38743.27344,45.24133301
2022-02-02,36952.98438,42.92850113
2022-02-03,37154.60156,42.53908157
2022-02-04,41500.875,45.96889114
2022-02-05,41441.16406,46.21980286
2022-02-06,42412.43359,46.6219902
2022-02-07,43840.28516,47.20431137
2022-02-08,44118.44531,46.47657013
2022-02-09,44338.79688,47.9137001
2022-02-10,43565.11328,44.91081619
2022-02-11,42407.9375,43.42816925
2022-02-12,42244.46875,44.18464661
2022-02-13,42197.51563,44.52643585
2022-02-14,42586.91797,44.87366104
2022-02-15,44575.20313,47.20053864
2022-02-16,43961.85938,46.51514053
2022-02-17,40538.01172,43.65227509
2022-02-18,40030.97656,43.13286972
2022-02-19,40122.15625,42.78858185
2022-02-20,38431.37891,40.90763474
2022-02-21,37075.28125,39.87975693
2022-02-22,38286.02734,41.55524445
2022-02-23,37296.57031,40.88623428
2022-02-24,38332.60938,41.27014542
2022-02-25,39214.21875,43.05149841
2022-02-26,39105.14844,43.3238678
2022-02-27,37709.78516,41.57076263
2022-02-28,43193.23438,45.97260284
2022-03-01,44354.63672,46.23248672
2022-03-02,43924.11719,46.21814728
2022-03-03,42451.78906,44.87667084
2022-03-04,39137.60547,40.44295883
2022-03-05,39400.58594,41.15986252
2022-03-06,38419.98438,39.81920242
2022-03-07,38062.03906,39.83638382
2022-03-08,38737.26953,40.55521774
2022-03-09,41982.92578,42.83615494
2022-03-10,39437.46094,40.77854156
2022-03-11,38794.97266,40.86930847
2022-03-12,38904.01172,41.05287933
