Date,BTC,PAXG
2019-12-12,7243.134277,1486.384033
2019-12-13,7269.68457,1458.177612
2019-12-14,7124.673828,1489.392456
2019-12-15,7152.301758,1485.790161
2019-12-16,6932.480469,1488.536255
2019-12-17,6640.515137,1463.868896
2019-12-18,7276.802734,1471.60144
2019-12-19,7202.844238,1480.810791
2019-12-20,7218.816406,1474.978638
2019-12-21,7191.158691,1476.230103
2019-12-22,7511.588867,1486.888062
2019-12-23,7355.628418,1470.934448
2019-12-24,7322.532227,1483.790405
2019-12-25,7275.155762,1489.571655
2019-12-26,7238.966797,1480.01355
2019-12-27,7290.088379,1524.727173
2019-12-28,7317.990234,1514.853638
2019-12-29,7422.652832,1536.425171
2019-12-30,7292.995117,1540.394775
2019-12-31,7193.599121,1532.916382
2020-01-01,7200.174316,1528.142334
2020-01-02,6985.470215,1525.200195
2020-01-03,7344.884277,1537.159546
2020-01-04,7410.656738,1546.680542
2020-01-05,7411.317383,1547.752563
2020-01-06,7769.219238,1539.739624
2020-01-07,8163.692383,1538.278687
2020-01-08,8079.862793,1575.60144
2020-01-09,7879.071289,1567.36853
2020-01-10,8166.554199,1514.934814
2020-01-11,8037.537598,1520.12439
2020-01-12,8192.494141,1523.797363
2020-01-13,8144.194336,1527.764526
2020-01-14,8827.764648,1568.980347
2020-01-15,8807.010742,1521.476196
2020-01-16,8723.786133,1515.410645
2020-01-17,8929.038086,1589.678589
2020-01-18,8942.808594,1592.042847
2020-01-19,8706.245117,1583.708008
2020-01-20,8657.642578,1592.106323
2020-01-21,8745.894531,1583.84436
2020-01-22,8680.875977,1578.75647
2020-01-23,8406.515625,1583.282471
2020-01-24,8445.43457,1589.523071
2020-01-25,8367.847656,1587.393433
2020-01-26,8596.830078,1591.157104
2020-01-27,8909.819336,1591.45459
2020-01-28,9358.589844,1588.904907
2020-01-29,9316.629883,1591.641479
2020-01-30,9508.993164,1592.78894
2020-01-31,9350.529297,1596.103516
2020-02-01,9392.875,1594.583008
2020-02-02,9344.365234,1605.800903
2020-02-03,9293.521484,1603.106445
2020-02-04,9180.962891,1595.623413
2020-02-05,9613.423828,1611.886597
2020-02-06,9729.801758,1572.948364
2020-02-07,9795.943359,1575.113525
2020-02-08,9865.119141,1570.333862
2020-02-09,10116.67383,1601.422852
2020-02-10,9856.611328,1584.070313
2020-02-11,10208.23633,1583.150757
2020-02-12,10326.05469,1591.223145
2020-02-13,10214.37988,1587.866821
2020-02-14,10312.11621,1593.389038
2020-02-15,9889.424805,1590.356323
2020-02-16,9934.433594,1588.894775
2020-02-17,9690.142578,1590.639038
2020-02-18,10141.99609,1540.744629
2020-02-19,9633.386719,1539.957886
2020-02-20,9608.475586,1552.895874
2020-02-21,9686.441406,1584.844238
2020-02-22,9663.181641,1586.36731
2020-02-23,9924.515625,1638.931152
2020-02-24,9650.174805,1666.601563
2020-02-25,9341.705078,1655.569214
2020-02-26,8820.522461,1663.573364
2020-02-27,8784.494141,1679.141968
2020-02-28,8672.455078,1619.408447
2020-02-29,8599.508789,1621.632813
2020-03-01,8562.454102,1610.022949
2020-03-02,8869.669922,1615.334229
2020-03-03,8787.786133,1643.995728
2020-03-04,8755.246094,1641.425659
2020-03-05,9078.762695,1644.90271
2020-03-06,9122.545898,1656.56897
2020-03-07,8909.954102,1665.389771
2020-03-08,8108.116211,1678.58728
2020-03-09,7923.644531,1630.663818
2020-03-10,7909.729492,1635.749146
2020-03-11,7911.430176,1645.137695
2020-03-12,4970.788086,1606.336548
